date,mis_group,fb_share,n_adults,typea_rate_all
2023-01-15,mis1,0.17484,10400,0.24517
2023-01-15,mis2_4,0.17172,31591,0.24352
2023-01-15,mis5,0.17047,9881,0.26710
2023-01-15,mis6_8,0.16837,30488,0.25414
2023-02-15,mis1,0.17911,10098,0.25859
2023-02-15,mis2_4,0.17241,30707,0.25435
2023-02-15,mis5,0.17482,9912,0.27476
2023-02-15,mis6_8,0.17066,30082,0.26364
2023-03-15,mis1,0.16884,10002,0.26509
2023-03-15,mis2_4,0.17806,30472,0.25832
2023-03-15,mis5,0.16605,9802,0.28076
2023-03-15,mis6_8,0.17004,29674,0.27158
2023-04-15,mis1,0.16403,10590,0.26065
2023-04-15,mis2_4,0.17605,31292,0.24507
2023-04-15,mis5,0.16861,10256,0.26982
2023-04-15,mis6_8,0.17140,30772,0.25281
2023-05-15,mis1,0.18041,10669,0.25487
2023-05-15,mis2_4,0.17466,31605,0.24918
2023-05-15,mis5,0.17365,10386,0.25977
2023-05-15,mis6_8,0.16958,31020,0.25553
2023-06-15,mis1,0.17213,10609,0.26662
2023-06-15,mis2_4,0.17378,31640,0.25783
2023-06-15,mis5,0.16535,10137,0.25304
2023-06-15,mis6_8,0.16691,30914,0.26052
2023-07-15,mis1,0.16804,10288,0.26797
2023-07-15,mis2_4,0.17099,32088,0.26033
2023-07-15,mis5,0.17736,10182,0.25776
2023-07-15,mis6_8,0.16894,31062,0.25281
2023-08-15,mis1,0.16426,10391,0.26444
2023-08-15,mis2_4,0.17463,32755,0.24548
2023-08-15,mis5,0.18123,10136,0.25464
2023-08-15,mis6_8,0.17206,31266,0.24439
2023-09-15,mis1,0.17044,10296,0.28205
2023-09-15,mis2_4,0.17146,32242,0.25369
2023-09-15,mis5,0.18164,9720,0.28496
2023-09-15,mis6_8,0.17186,30729,0.24833
2023-10-15,mis1,0.16021,10657,0.26091
2023-10-15,mis2_4,0.17443,32825,0.24415
2023-10-15,mis5,0.17226,10338,0.25643
2023-10-15,mis6_8,0.17728,30906,0.24785
2023-11-15,mis1,0.16807,10080,0.28219
2023-11-15,mis2_4,0.16941,32517,0.24987
2023-11-15,mis5,0.18284,9672,0.28258
2023-11-15,mis6_8,0.18026,30672,0.25303
2023-12-15,mis1,0.18190,10359,0.27917
2023-12-15,mis2_4,0.17139,31976,0.25868
2023-12-15,mis5,0.17781,9589,0.28606
2023-12-15,mis6_8,0.18109,30498,0.26257
2024-01-15,mis1,0.17385,10194,0.28108
2024-01-15,mis2_4,0.17483,32171,0.25703
2024-01-15,mis5,0.17422,9737,0.28166
2024-01-15,mis6_8,0.17745,30344,0.26034
2024-02-15,mis1,0.17945,10647,0.25869
2024-02-15,mis2_4,0.17915,32006,0.25366
2024-02-15,mis5,0.18770,10062,0.26608
2024-02-15,mis6_8,0.17916,29952,0.26323
2024-03-15,mis1,0.17856,10059,0.28834
2024-03-15,mis2_4,0.18300,30922,0.27657
2024-03-15,mis5,0.17211,9355,0.30968
2024-03-15,mis6_8,0.18216,29153,0.27832
2024-04-15,mis1,0.16092,10097,0.25037
2024-04-15,mis2_4,0.17989,31943,0.25867
2024-04-15,mis5,0.17594,10353,0.27865
2024-04-15,mis6_8,0.18073,30226,0.26361
2024-05-15,mis1,0.18775,10046,0.25420
2024-05-15,mis2_4,0.17528,31943,0.25009
2024-05-15,mis5,0.17569,10381,0.27153
2024-05-15,mis6_8,0.17824,30789,0.26406
2024-06-15,mis1,0.17513,9772,0.27406
2024-06-15,mis2_4,0.17758,31262,0.24917
2024-06-15,mis5,0.18055,10367,0.28328
2024-06-15,mis6_8,0.17573,30899,0.26732
2024-07-15,mis1,0.17073,9905,0.26897
2024-07-15,mis2_4,0.17983,30755,0.24681
2024-07-15,mis5,0.18521,10372,0.26559
2024-07-15,mis6_8,0.17625,31792,0.26295
2024-08-15,mis1,0.17307,10043,0.26464
2024-08-15,mis2_4,0.17974,30942,0.24735
2024-08-15,mis5,0.17882,10500,0.27462
2024-08-15,mis6_8,0.18202,32156,0.25650
2024-09-15,mis1,0.16295,9778,0.28329
2024-09-15,mis2_4,0.17745,30752,0.25552
2024-09-15,mis5,0.18380,10293,0.28626
2024-09-15,mis6_8,0.18551,32157,0.26003
2024-10-15,mis1,0.18147,9730,0.27901
2024-10-15,mis2_4,0.17587,30745,0.25870
2024-10-15,mis5,0.17007,10553,0.27718
2024-10-15,mis6_8,0.18337,31810,0.26424
2024-11-15,mis1,0.18629,9795,0.27295
2024-11-15,mis2_4,0.17751,30595,0.25995
2024-11-15,mis5,0.17773,10167,0.29133
2024-11-15,mis6_8,0.17857,32104,0.26398
2024-12-15,mis1,0.17398,9803,0.28098
2024-12-15,mis2_4,0.17788,30361,0.25903
2024-12-15,mis5,0.19218,10123,0.29134
2024-12-15,mis6_8,0.17818,32113,0.26376
2025-01-15,mis1,0.17870,9450,0.28998
2025-01-15,mis2_4,0.18421,30402,0.26010
2025-01-15,mis5,0.18642,10050,0.29034
2025-01-15,mis6_8,0.18255,31761,0.26829
2025-02-15,mis1,0.16954,9698,0.26783
2025-02-15,mis2_4,0.18138,30064,0.26046
2025-02-15,mis5,0.18180,10010,0.29101
2025-02-15,mis6_8,0.18585,30985,0.27464
2025-03-15,mis1,0.17414,9475,0.29015
2025-03-15,mis2_4,0.17617,28656,0.28337
2025-03-15,mis5,0.19562,10089,0.29768
2025-03-15,mis6_8,0.18807,30018,0.28878
2025-04-15,mis1,0.18196,9812,0.28368
2025-04-15,mis2_4,0.17578,29353,0.27367
2025-04-15,mis5,0.16843,9742,0.27907
2025-04-15,mis6_8,0.18691,30997,0.27524
2025-05-15,mis1,0.16990,10064,0.28068
2025-05-15,mis2_4,0.17579,29280,0.28491
2025-05-15,mis5,0.18724,9853,0.27098
2025-05-15,mis6_8,0.18362,30241,0.28061
2025-06-15,mis1,0.16440,9592,0.29498
2025-06-15,mis2_4,0.17227,29559,0.28434
2025-06-15,mis5,0.18279,9775,0.28967
2025-06-15,mis6_8,0.18557,29909,0.27419
2025-07-15,mis1,0.17130,9899,0.29592
2025-07-15,mis2_4,0.17227,29725,0.28645
2025-07-15,mis5,0.17670,9728,0.28844
2025-07-15,mis6_8,0.17936,29308,0.27896
2025-08-15,mis1,0.17077,10477,0.25519
2025-08-15,mis2_4,0.17108,31081,0.26737
2025-08-15,mis5,0.17713,10086,0.26868
2025-08-15,mis6_8,0.18106,30242,0.26432
2025-09-15,mis1,0.16742,10181,0.26426
2025-09-15,mis2_4,0.17065,30788,0.27122
2025-09-15,mis5,0.17609,9838,0.28181
2025-09-15,mis6_8,0.18136,30376,0.26454
2025-11-15,mis1,0.17576,9277,0.32234
2025-11-15,mis2_4,0.17016,28852,0.31025
2025-11-15,mis5,0.17216,9265,0.31531
2025-11-15,mis6_8,0.18027,28573,0.30294
2025-12-15,mis1,0.16532,9062,0.33663
2025-12-15,mis2_4,0.17043,28904,0.30771
2025-12-15,mis5,0.18357,9277,0.32771
2025-12-15,mis6_8,0.18242,28817,0.29650
2026-01-15,mis1,0.17089,9211,0.33275
2026-01-15,mis2_4,0.17170,28699,0.31157
2026-01-15,mis5,0.19114,9090,0.31848
2026-01-15,mis6_8,0.18498,28847,0.29430
2026-02-15,mis1,0.17162,9494,0.30961
2026-02-15,mis2_4,0.17066,29714,0.29027
2026-02-15,mis5,0.17831,9209,0.31222
2026-02-15,mis6_8,0.18641,29065,0.28575
2026-03-15,mis1,0.17408,9309,0.32244
2026-03-15,mis2_4,0.17603,28946,0.30298
2026-03-15,mis5,0.18253,8854,0.34080
2026-03-15,mis6_8,0.18349,27869,0.30515
2026-04-15,mis1,0.17202,9448,0.28636
2026-04-15,mis2_4,0.17573,30173,0.28125
2026-04-15,mis5,0.17977,9761,0.29945
2026-04-15,mis6_8,0.18392,28549,0.29184
2026-05-15,mis1,0.16914,9484,0.28882
2026-05-15,mis2_4,0.17960,30248,0.27424
2026-05-15,mis5,0.17469,9841,0.29281
2026-05-15,mis6_8,0.17654,28978,0.28771
