n_fb,fb_t2_roster_confirmed,fb_t3_moved_signal,fb_t4_refusal_signal,fb_u,fb_t1_spouse_reported,n_2g,2g_t2_roster_confirmed,2g_t3_moved_signal,2g_t4_refusal_signal,2g_u,2g_t1_spouse_reported,n_3g,3g_t2_roster_confirmed,3g_t3_moved_signal,3g_t4_refusal_signal,3g_u,3g_t1_spouse_reported,fear_index,fear_refusal,depart_gap,pair,months_span,date
8618,0.014455081094304122,0.010560740066577158,0.08787034270591199,0.11288616386679326,0.0001176290639187806,5519,0.012548383757096103,0.012691857892325674,0.08611922227334952,0.11135946392277128,0.0,47389,0.009325618065909898,0.010278250173580954,0.08039025336283934,0.09999412160233018,0.0002460095791981479,0.001526699944021978,0.0017511204325624669,-0.00022442048854049573,jan23->feb23,1,2023-01-15
8555,0.011643723147393394,0.012416786097951663,0.10098269096007416,0.1250432002054192,0.00013571445598941595,5362,0.012859415348136368,0.010121051535837396,0.09735149866838709,0.12033196555236084,4.697050755683557e-05,47026,0.008997316655496383,0.010388460049138815,0.08728198687197045,0.10666776357660566,0.0004394934127458022,0.004711234653058366,0.0036311922916870687,0.0010800423613712938,feb23->mar23,1,2023-02-15
8545,0.014455733976477961,0.010131598793660887,0.07772535907137926,0.10231269184151809,0.0005721051144312363,5362,0.010521813036351645,0.009983751871483822,0.06836484784989778,0.08887041275773325,0.00015723747669782584,46170,0.0077147721848314366,0.009818135792977597,0.06629939741081668,0.08383230538862574,0.0003261343387512983,0.013442279083784842,0.009360511221481474,0.0040817678623033815,mar23->apr23,1,2023-03-15
8809,0.014747465632237455,0.012075356920656484,0.08768157286555589,0.11450439541844984,0.0003128204488555733,5549,0.008670833528898648,0.012699385396664067,0.07546295940395548,0.09683317832951818,0.0,48339,0.007637234860659128,0.011149211313451037,0.07212039869752598,0.09090684487163615,0.00023459354768208537,0.017671217088931657,0.012218613461600414,0.0054526036273312255,apr23->may23,1,2023-04-15
8833,0.013341022138726047,0.015640452904401754,0.09955989531999312,0.12854137036312094,0.0007395763063646214,5638,0.01031286105431783,0.014306259319151615,0.08234437986920361,0.10696350024267307,1.852080022925262e-05,48622,0.009982879044353032,0.012486594388143096,0.07940739772980902,0.10187687116230516,0.00037991644067450985,0.021577870120447873,0.017215515450789518,0.004362354669658357,may23->jun23,1,2023-05-15
8703,0.013688843288287924,0.016377823511227452,0.0893202792695227,0.11938694606903807,0.0,5615,0.016279228587278902,0.016192918774872434,0.08584138104584595,0.11831352840799729,0.00044128710812067523,48681,0.010430258990220927,0.011954973622240081,0.07609365170794043,0.09847888432040144,0.00046836548939554584,0.0010734176610407847,0.003478898223676752,-0.00240548056263596,jun23->jul23,1,2023-06-15
8866,0.012580225651674253,0.012756558312702452,0.07437232701197924,0.09970911097635593,9.57081191252994e-05,5551,0.010682446925044132,0.011785139164769073,0.0749897420455905,0.0974573281354037,0.00022053623793520796,48337,0.01011640844729708,0.012420651170942664,0.0669924611274584,0.08952952074569813,0.0004942641895858584,0.0022517828409522322,-0.0006174150336112627,0.0028691978745635,jul23->aug23,1,2023-07-15
8986,0.016239333879436334,0.013209851757588946,0.0925352058554713,0.12198439149249658,0.00012856147547480172,5657,0.01423457986493611,0.01707454710091349,0.08299074444735598,0.11429987141320559,0.0002530401774333679,48672,0.013470311529883582,0.012100249126218507,0.0780232435769755,0.10366779676424993,0.0004961840677546759,0.007684520079290991,0.009544461408115323,-0.0018599413288243154,aug23->sep23,1,2023-08-15
9078,0.015581958415068379,0.013493019569941889,0.07079089137453731,0.0998658693595476,0.00025043287713462543,5601,0.01417698544269566,0.010755303663559288,0.07621735208493532,0.10114964119119027,0.0006197427590111871,47448,0.010325745965791529,0.008199998647998532,0.06637572191010144,0.0849014665238915,0.000267066493026529,-0.0012837718316426744,-0.005426460710398012,0.004142688878755322,sep23->oct23,1,2023-09-15
9173,0.012562723191372136,0.01270036780157877,0.08327211818589052,0.10853520917884144,0.00010839881041727455,5795,0.010869305207717913,0.01033173692814969,0.0768405819436285,0.0980416240794961,0.0,48599,0.009964469741862252,0.009928972620561811,0.07590199276286176,0.09579543512528584,0.0004468141497373348,0.010493585099345337,0.006431536242262018,0.0040620488570833006,oct23->nov23,1,2023-10-15
9025,0.012100567997757963,0.010547798722618714,0.08142322622172288,0.10407159294209957,0.000528582128489308,5599,0.007727539425829589,0.009015750136721604,0.08045215503285372,0.09719544459540491,0.00010486251217501175,47305,0.00881580820690155,0.007550726272855942,0.07485147261990603,0.09121800709966352,0.0003679310620726505,0.006876148346694658,0.0009710711888691603,0.005905077157825485,nov23->dec23,1,2023-11-15
8976,0.01821486642766338,0.007604172965330194,0.09029127437538827,0.11611031376838182,0.00032569755276844626,5536,0.011593939114422146,0.007516836848573674,0.07287429562450562,0.09198507158750144,0.00011686366381058869,47331,0.010145866929457235,0.010032940947840715,0.06860182290359261,0.08878063078089059,0.0003526549524161178,0.024125242180880385,0.017416978750882647,0.0067082634299977534,dec23->jan24,1,2023-12-15
8968,0.015964270269998963,0.018141022189411896,0.08518980001585301,0.11929509247526388,0.00038563168917410233,5448,0.008790301877368853,0.016921680187568143,0.07704851579991442,0.10276049786485143,4.2324128506244745e-05,46754,0.010510679450615857,0.013650046019440473,0.06979157539474913,0.09395230086480547,0.0007126616990855614,0.016534594610412442,0.008141284215938585,0.008393310394473864,jan24->feb24,1,2024-01-15
9332,0.013943384209078192,0.012968953838555095,0.10793280152827164,0.13484513957590494,0.00015705450013389158,5506,0.010349454780913505,0.009130063933218684,0.11110208439732402,0.13058160311145622,0.0004450366441517156,47567,0.009020469886737876,0.01157239340600246,0.093916207510196,0.11450907080293633,0.00037720696144120616,0.004263536464448714,-0.003169282869052381,0.0074328193335010985,feb24->mar24,1,2024-02-15
8973,0.014660938857848495,0.008986902344496568,0.07894338711334832,0.10259122831569337,0.00042343255417418116,5352,0.009715909699984891,0.006598981590078598,0.06942298504381805,0.08573787633388154,0.0005089041325753899,45319,0.008441980570798504,0.008732735735695683,0.06118337242838228,0.07835808873487647,0.00020120304845389785,0.01685335198181183,0.009520402069530268,0.007332949912281574,mar24->apr24,1,2024-03-15
9181,0.013085933393363195,0.013781929891834887,0.07571859602665265,0.10258645931185073,0.00045506736578120917,5746,0.011386670352410071,0.016417167911678916,0.07668994258751057,0.10449378085159954,0.00022748711629573602,47300,0.00895304867483965,0.011325480863710007,0.06791056101196692,0.08818909055051657,0.0004720846130377821,-0.0019073215397488047,-0.0009713465608579136,-0.000935974978890905,apr24->may24,1,2024-04-15
9211,0.015232757422059037,0.014036194573756055,0.08339063467988428,0.11265958667569938,0.0005691680890153965,5681,0.012429873165427796,0.010903396142101084,0.07982480502050894,0.10315807432803781,4.6807929149930445e-05,47400,0.009242539704221628,0.012402723444985338,0.07016731932724245,0.09181258247644943,0.00046362828430948535,0.00950151234766157,0.0035658296593753386,0.00593568268828621,may24->jun24,1,2024-05-15
9022,0.015578145522076032,0.010344971712293562,0.07502970428102271,0.1009528215153923,0.00022904586167693872,5515,0.01281968460190751,0.01086129610834284,0.06784277279979418,0.09152375351004453,0.0005683276173446915,47087,0.008806073907740646,0.01163819690086172,0.06937332405845084,0.08981759486705322,0.0002826449633305839,0.009429068005347763,0.007186931481228523,0.0022421365241192467,jun24->jul24,1,2024-06-15
9315,0.014171889597989044,0.018564494968312088,0.0761237285398008,0.10886011310610194,0.00021870044948497865,5726,0.01256292889953575,0.0150383228382172,0.08156540394197212,0.10916665567972508,0.0003196368488143741,47177,0.010101642142319862,0.012519133940428882,0.06567082861413419,0.08829160469688292,0.0006110895007219526,-0.00030654257362314197,-0.005441675402171317,0.005135132828548179,jul24->aug24,1,2024-07-15
9357,0.015338366861227788,0.010268381509299722,0.07177572150080087,0.09738246987132838,0.0005680699839397635,5746,0.016185453223662674,0.00954842695768869,0.07005845556267344,0.0957923357440248,0.00017040391228372988,47710,0.009224120184577052,0.011210785902280012,0.07494035341445,0.09537525950130707,0.0004641496978587063,0.0015901341273035774,0.0017172659381274324,-0.00012713181082385332,aug24->sep24,1,2024-08-15
9352,0.013071294544784437,0.009903678186695273,0.07327127681689903,0.09624624954837875,0.0,5832,0.012377640860583685,0.009659880550793334,0.08002076909492357,0.10205829050630062,0.00026576638883333284,46926,0.009202167533504682,0.00913194692272208,0.07355604778066112,0.0918901622368879,0.0001676556151972526,-0.005812040957921871,-0.006749492278024544,0.0009374513201026915,sep24->oct24,1,2024-09-15
9221,0.009938918868217683,0.011168101607506448,0.0811290246529875,0.10223604512871164,0.00016553503155053334,5727,0.010766642554208642,0.008726643398010034,0.07652310912909975,0.09601639508131843,0.00018324382605010785,47057,0.008297474669866611,0.008073164045676961,0.06931060138082067,0.08568124009636424,0.0005337256832786513,0.006219650047393208,0.004605915523887755,0.0016137345235054546,oct24->nov24,1,2024-10-15
9185,0.013957434085323128,0.007543447268514112,0.07709681338565283,0.09859769473949008,0.0005689215654855847,5676,0.012716111355799272,0.006974063830061992,0.06910553205801333,0.0887957072438746,0.0008706384900384231,46984,0.008614109360192291,0.00799346255872978,0.06780003113175731,0.08440760305067938,0.000312282268640149,0.009801987495615477,0.007991281327639502,0.0018107061679759756,nov24->dec24,1,2024-11-15
9144,0.015789093490618692,0.014765914233582185,0.07907751205950628,0.10963251978370714,0.0005473234561026273,5708,0.010987185846147395,0.012149383723908579,0.0790097142986981,0.1021462838687541,0.0002453072006024704,46940,0.011025097268414824,0.0100995016621162,0.0713044810396711,0.09242907997020214,0.0006203997596247226,0.007486235914953038,6.779776080817479e-05,0.007418438154144901,dec24->jan25,1,2024-12-15
9052,0.013837342570335268,0.012753433731166667,0.08204907677944964,0.10863985308095159,0.0008489067183490381,5539,0.009776088349244705,0.009891543282903734,0.07664130628906057,0.09630893792120901,0.0,46106,0.01071573463963498,0.011102207895203947,0.0740925652306153,0.09591050776545423,0.0005086126116165563,0.012330915159742578,0.005407770490389069,0.006923144669353495,jan25->feb25,1,2025-01-15
9001,0.016591853257889654,0.013685516831589133,0.11879577643475016,0.14907314652422893,0.0006756077987303658,5512,0.013231943312215324,0.005897932272502079,0.11958079603015102,0.1387106716148684,0.0002634935069452175,45911,0.011739998844305485,0.01107572655162708,0.09653248326329703,0.11935888852798002,0.0003974403379012202,0.010362474909360514,-0.0007850195954008654,0.011147494504761386,feb25->mar25,1,2025-02-15
8647,0.010210801100113312,0.013568914699359452,0.08381646948373091,0.10759618528320367,0.0004842733042779214,5267,0.007183125007721225,0.010376850331669477,0.08456844793045333,0.10212842326984405,0.0005420867698962323,44744,0.007682285022950018,0.007646442347746431,0.07494593280859166,0.09027466017928812,0.0003625504914998709,0.00546776201335962,-0.0007519784467224233,0.006219740460082064,mar25->apr25,1,2025-03-15
8683,0.015235827177751845,0.01686511196784606,0.08163201945683678,0.11373295860243467,0.0006510590911051274,5494,0.0171644091259514,0.01490728735527883,0.0875893363635027,0.11966103284473294,0.00047980752858191013,45935,0.010366122510183724,0.012352265817909101,0.08949306977068612,0.11221145809877894,0.0004959827959345016,-0.00592807424229827,-0.005957316906665927,2.924266436767249e-05,apr25->may25,1,2025-04-15
8636,0.01298421817750315,0.015560165731669875,0.0928768517798328,0.12142123568900584,0.0002299715544263282,5402,0.010999307792500603,0.015368959459113096,0.09206460824269254,0.11843287549430624,0.00020894501429694325,45735,0.0100478029414924,0.013133555046204072,0.08687676110954645,0.11005811909724293,0.00052172665926977,0.002988360194699599,0.000812243537140267,0.002176116657559325,may25->jun25,1,2025-05-15
8344,0.011230172839952705,0.0158740644986563,0.09255120706259284,0.11965544440120185,0.00040586608304135396,5373,0.011280483251137893,0.016075776964307315,0.09434059631576837,0.12169685653121358,0.0,45387,0.009200547738803548,0.010810249006695513,0.0883411024594941,0.10835189920499316,0.0003042906875982647,-0.00204141213001173,-0.0017893892531755246,-0.0002520228768362019,jun25->jul25,1,2025-06-15
8358,0.013742213175604789,0.015716253954088044,0.06685501678086735,0.0963134839105602,0.0003391752591432711,5529,0.010219031777198004,0.01281545314097336,0.06512753755769134,0.08818439745495868,0.000359460325563762,45467,0.011293848848468421,0.01338011313399379,0.07008275762999965,0.09476042837165248,0.00044251894031687415,0.008129086455601522,0.0017274792231760094,0.0064239822115214704,jul25->aug25,1,2025-07-15
8790,0.014985582756782821,0.01385832156553439,0.08218578594304579,0.111029690265363,0.0004948549692036766,5820,0.010622943033100254,0.011168387552229882,0.08233996838583305,0.10413129897116319,0.0004067569861205095,47126,0.00943067550053152,0.011862873769714132,0.0785392190166335,0.09983276828687915,0.00024361271339720276,0.006898391294199807,-0.00015418244278725401,0.007052573736987075,aug25->sep25,1,2025-08-15
5751,0.016702737845070422,0.021526943376525953,0.11600396286999243,0.1542336440915888,0.0010981313190805398,3745,0.011883034030972427,0.02082862428884914,0.10083528998603722,0.13354694830585878,0.0007803931123924915,31062,0.01535376517203982,0.01746442586028566,0.10711391614574013,0.13993210717806562,0.0008059061857417741,0.020686695785730014,0.015168672883955209,0.0055180229017748085,sep25->nov25,2,2025-09-15
7997,0.013298177349128235,0.010905898661325826,0.09157304128681235,0.11577711729726642,0.00014395375390332808,5358,0.012187049214497467,0.008353702339144314,0.09352481494222527,0.11406556649586704,0.0,43143,0.009404230262068033,0.011026693832163354,0.09329726902413786,0.11372819311836925,0.00025119823754576697,0.0017115508013993835,-0.0019517736554129222,0.003663324456812278,nov25->dec25,1,2025-11-15
8071,0.014399120079432283,0.009572010351948167,0.0822870901628195,0.10625822059419997,0.0009344142259662735,5337,0.014429463369030109,0.009808664172726592,0.08901930470819762,0.11325743224995431,0.00017916948987744592,43344,0.010244187290128553,0.00855657535290741,0.08304790098920274,0.10184866363223871,0.0006164264912839291,-0.006999211655754345,-0.006732214545378118,-0.0002669971103762478,dec25->jan26,1,2025-12-15
8337,0.012846092334984243,0.011419827348195244,0.08351431505602462,0.10778023473920412,0.00044611003285663326,5306,0.01355014779512555,0.007976210304373633,0.07689055251693214,0.09841691061643133,0.0,43691,0.009628279340125261,0.009939702333348531,0.07499691300610106,0.09456489467957485,0.0005278277330134672,0.009363324122772784,0.006623762539092484,0.002739561583680305,jan26->feb26,1,2026-01-15
8305,0.011270283052470976,0.008547822829680307,0.10502734215176157,0.12484544803391288,0.0014123402362975813,5433,0.009191278956656676,0.01078183447929732,0.1023979477360587,0.1223710611720127,0.00019871084730768005,44306,0.009104835083118113,0.012729623165601436,0.09838563100411578,0.12022008925283531,0.0004884025838427724,0.002474386861900185,0.002629394415702868,-0.0001550075538027107,feb26->mar26,1,2026-02-15
8023,0.012748469952772182,0.0088023032064096,0.08561372769858987,0.10716450085777164,0.0,5232,0.009991756662941637,0.006907560932851767,0.07296769608672563,0.08986701368251904,7.48979546222886e-05,42704,0.008780613983588292,0.010537677069538516,0.06909500297310585,0.08841329402623267,0.0004713276460482134,0.017297487175252604,0.012646031611864242,0.004651455563388377,mar26->apr26,1,2026-03-15
8307,0.0072459385639816595,0.010973018598096828,0.07362743125975159,0.09184638842183009,0.00023472620571284407,5597,0.011191548716247189,0.01227609122253167,0.07239854844856998,0.09586618838734887,0.00017945889772649778,44561,0.008521275276048816,0.012056191803857967,0.07487718514773477,0.09545465222764156,0.0006323686937006837,-0.0040197999655187805,0.0012288828111816086,-0.005248682776700372,apr26->may26,1,2026-04-15
